Podcast Name,Episode Title,Language,Published Date,Host(s),Guest(s),Main Topic(s),Rating (1-6),Rating Notes,Tags,Platform / Link
Bouvet Bobler,Dette bør du vite om fordommer i AI,Norwegian,2026-01-20,Simen Sommerfeldt,"Kathinka Theodore Aakenes Vik (jurist), Wessel Braakman (Bouvet)","AI-bias, AI-diskriminering, AI-etikk, ansvarlig AI, norsk AI-etikk",5,Episode med grundig diskusjon om diskriminering i AI-systemer fra både juridiske og etiske perspektiver. Viktig innsikt for alle som utvikler AI-løsninger.,,https://www.bouvet.no/podcasts/fordommer-i-ai
Bouvet Bobler,Teknologi og trender som vil påvirke 2026,Norwegian,2026-01-29,Merete Løland,"Kjetil Molaug, Per Ivar Nerseth (Bouvet)","AI trends, cloud technology, cybersecurity, digital services, 2026 technology outlook",4,AI er ett av flere temaer — nyttig norsk perspektiv på teknologitrender for 2026,,https://podcasts.apple.com/no/podcast/teknologi-og-trender-som-vil-p%C3%A5virke-2026/id1515685200?i=1000747130994
Lex Fridman Podcast,#490 – State of AI in 2026: LLMs / Coding / Scaling / China / Agents / AGI,English,2026-02-01,Lex Fridman,"Nathan Lambert (Ai2), Sebastian Raschka","AI landscape, coding, scaling laws, open vs closed source, AGI timeline",6,Comprehensive state-of-AI with two top researchers; covers vibe coding and AI coding tools extensively,vibe,https://lexfridman.com/ai-sota-2026/
Practical AI,Inside an AI-Run Company,English,2026-02-02,"Daniel Whitenack, Chris Benson",Evan Ratliff (journalist / Shell Game),"Autonomous AI business operations, AI journalism",4,Fascinating case study on AI running a real startup,,https://practicalai.fm/
AI Forklart,Den usynlige nedbemanningen,Norwegian,2026-02-03,"Niclas Kvanvig, Celine Haaland-Johansen",,"AI-driven layoffs, tech workforce, Norwegian labour implications",4,Analyserer AI-relaterte oppsigelser i tech og konsekvenser for norsk arbeidsliv,,https://podcasts.apple.com/no/podcast/ai-forklart/id1868744798
AI-Snakk,Ep 37 – AI går fra verktøy til trussel: Ukens store omveltning,Norwegian,2026-02-03,Audun Kvitland Røstad,,"SaaSpocalypse, Claude Cowork-agent, programvaresektorens forstyrrelse",5,Diskusjonen om hvordan AI utvikler seg fra å være et verktøy til å bli en potensiell trussel gir viktig innsikt i nåtiden og fremtiden til teknologi. Vertskapet gir en grundig analyse av de siste nyhetene og hva det betyr for bransjen.,openclaw,https://podcasts.apple.com/us/podcast/ai-snakk/id1817215754
The Artificial Intelligence Show,"#195: Moltbook Goes Viral, OpenAI Seeks $100B, Microsoft Stock Plummets & SpaceX-xAI Merger Rumors",English,2026-02-03,"Paul Roetzer, Mike Kaput",,"Moltbook viral AI agent, OpenAI $100B fundraising, Microsoft stock decline",4,"Engaging discussions on the viral success of Moltbook, OpenAI's plans for a $100B raise, and the recent decline in Microsoft stock highlight significant trends in AI and technology. This analysis offers valuable insights for listeners interested in the evolving landscape of the industry.",openclaw,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/traffic.megaphone.fm/FPMN5423176147.mp3
The Implement AI Podcast,"#76 – Why AI Fails Without Leadership, Structure, and Digital Workers",English,2026-02-03,"Piers Linney, Dr. Aalok Y. Shukla",,"AI adoption, AI leadership, digital workers, AI failure modes",4,"Providing a practical overview, this discussion highlights the critical role of leadership, structure, and digital workers in successful AI implementation, making it invaluable for businesses embarking on their AI journey.",,https://shows.acast.com/the-ai-assisted-organisation-with-implement-ai/episodes/the-implement-ai-podcast-76-why-ai-fails-without-leadership
The Journal (WSJ),Vibe Coding Could Change Everything,English,2026-02-04,Ryan Knutson,"Joanna Stern, Ben Cohen (WSJ)","Vibe coding, Claude Code, prompt-to-software, legal implications, industry implications",5,"High-quality journalism on vibe coding is presented in a way that is accessible and informative for non-technical audiences, featuring insights from Joanna Stern and Ben Cohen.",vibe,https://podcasts.apple.com/us/podcast/vibe-coding-could-change-everything/id1469394914?i=1000748267488
Gradient Dissent (W&B),"The $64M Bet on an AI That Has to Be Right | Carina Hong, CEO of Axiom",English,2026-02-05,Lukas Biewald,Carina Hong (CEO Axiom),"AI accuracy, high-stakes AI, AI reliability",4,Interesting angle on AI correctness in mission-critical settings,,https://open.spotify.com/show/7o9r3fFig3MhTJwehXDbXm
E24-podden,AI og cybersikkerhet: Vinner eller taper vi kappløpet?,Norwegian,2026-02-18,E24 hosts,Wendi Whitmore (CISO Palo Alto Networks),"AI, cybersikkerhet, AI-trusler, AI i sikkerhet",4,Ekspertgjest med verdifull innsikt; forretningsrelatert perspektiv på AI-sikkerhet med relevans for Norge.,,https://podcasts.apple.com/ie/podcast/e24-podden/id993667736
Win-Win with Liv Boeree,"#53 – John Schultz – Why Google Made ChatGPT, Gemini & Claude Play 900,000 Hands of Poker",English,2026-02-06,Liv Boeree,John Schultz (Google DeepMind),"AI Game Arena, LLM evaluation, AI benchmarks, game theory, AI",5,"A DeepMind researcher explains the AI Game Arena, providing a unique perspective on LLM evaluation through poker games and Werewolf, leveraging Boeree's background as a poker player.",,https://www.winwinpodcast.com/podcast
The Journal (WSJ),AI Bots Have Social Media Now. It Got Weird Fast.,English,2026-02-09,Ryan Knutson,,"AI bots, social media, AI-generated accounts, online discourse",4,"Exploring the impact of AI bots on social media, this discussion provides valuable insights into how these technologies are shaping online discourse. It's informative and accessible to a broad audience.",,https://video-api.wsj.com/podcast/rss/wsj/the-journal
The Artificial Intelligence Show,"#196: SaaSpocalypse, Claude Super Bowl Ad, SpaceX Acquires xAI & Claude Opus 4.6",English,2026-02-10,"Paul Roetzer, Mike Kaput",,"SaaSpocalypse, Claude Super Bowl ad, Claude Opus 4.6, SpaceX xAI merger",4,"Critical developments in the AI landscape are explored, including the implications of the SaaSpocalypse and the merger of SpaceX and xAI. Valuable insights and commentary on significant technological advancements and marketing strategies are provided.",openclaw,https://podcast.smarterx.ai/
AI-Snakk,Ep 38 – AI som bygger seg selv / Norge sover i timen,Norwegian,2026-02-12,Audun Kvitland Røstad,,"selvforbedrende AI, nordisk AI-adopsjon, helsevesen AI",5,Sterk analyse med kritisk perspektiv på norsk AI-beredskap.,,https://podcasts.apple.com/us/podcast/ai-snakk/id1817215754
Lex Fridman Podcast,#491 – OpenClaw: The Viral AI Agent that Broke the Internet – Peter Steinberger,English,2026-02-12,Lex Fridman,Peter Steinberger,"OpenClaw origin story, AI coding agents, autonomous AI agents, AI replacing programmers",6,"Peter Steinberger, the creator of OpenClaw, discusses the project right after its viral explosion, providing essential insights into its implications and potential.",openclaw,https://lexfridman.com/peter-steinberger/?utm_source=rss&utm_medium=rss&utm_campaign=peter-steinberger
No Priors,Roblox & the AI Holodeck,English,2026-02-12,"Sarah Guo, Elad Gil",Dave Baszucki (CEO Roblox),"AI in virtual worlds, real-time AI rendering, social platforms",4,AI application in gaming/metaverse; notable CEO guest,,https://podcasts.apple.com/us/podcast/no-priors-artificial-intelligence-technology-startups/id1668002688
Heis,Ep 11 – AI-spesial med Vilde Opsal og Anders Sveen,Norwegian,2026-02-16,Truls og Audun,"Vilde Opsal (AI Engineering Director, Vend), Anders Sveen","kodeagenter, AI-assistert utvikling, vibe coding, organisatorisk AI-ber readiness",5,Denne episoden gir en grundig innføring i hvordan kodeagenter og AI-assistert utvikling kan påvirke teknologisk utvikling og ledelse. Vilde Opsal og Anders Sveen deler sine erfaringer og kunnskaper fra bransjen.,vibe,https://heis.fm/
The AI Daily Brief,OpenClaw Goes to OpenAI,English,2026-02-16,Nathaniel Whittemore (NLW),,"OpenClaw, agentic AI, Peter Steinberger joins OpenAI, personal AI agents",6,Covers the OpenClaw phenomenon from a firsthand perspective with the creator now at OpenAI; an essential episode for understanding agentic AI in Q1 2026.,openclaw,https://open.spotify.com/episode/1otYDtnFTPY1bUEIgGWCwv
AI Forklart,Når språkmodellen får deg inn i en spiral av feil,Norwegian,2026-02-17,"Niclas Kvanvig, Celine Haaland-Johansen",,"AI-hallusinasjon, LLM-feil, kritisk tenkning",4,Viktig diskusjon om AI-hallusinasjon og feilkilder. Innholdet er relevant for alle som bruker AI.,,https://podcasts.apple.com/no/podcast/ai-forklart/id1868744798
The Artificial Intelligence Show,"#197: Something Big Is Happening, Claude Safety Risks, AI for Customer Success & High-Profile Resignations",English,2026-02-17,"Paul Roetzer, Mike Kaput",,"AI disruption warnings, Claude safety risks, AI safety resignations, work intensification",4,"This weekly AI news broadcast focuses on the business implications of artificial intelligence, covering recent developments and concerns in the industry.",,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/traffic.megaphone.fm/FPMN1403989032.mp3
The Implement AI Podcast,"#77 – Digital Workers, Analyst Agents, and the End of Headcount-Led Growth",English,2026-02-17,"Piers Linney, Dr. Aalok Y. Shukla",,"AI agents, digital workers, analyst agents, AI and business growth",4,"Listeners gain a concrete overview of AI agents and digital workers in practice, presenting a clear and relevant perspective on how agentic AI can transform business operations.",agents,https://shows.acast.com/the-ai-assisted-organisation-with-implement-ai/episodes/the-implement-ai-podcast-77-digital-workers-analyst-agents-a
AI-Snakk,Ep 39 – Agent-krigen: Hvem vinner retten til å handle på dine vegne?,Norwegian,2026-02-18,Audun Kvitland Røstad,,"flere-agenter AI, AI-agentkonkurranse, suveren AI",5,God ramme for agentkonkurranselandskapet i norsk kontekst.,agents,https://podcasts.apple.com/us/podcast/ai-snakk/id1817215754
No Priors,The SaaS Apocalypse?,English,2026-02-19,"Sarah Guo, Elad Gil",,"AI disruption of SaaS, agent-first software, token economics",5,Sharp analysis of how AI agents are dismantling traditional SaaS,agents,https://podcasts.apple.com/us/podcast/no-priors-artificial-intelligence-technology-startups/id1668002688
Hard Fork (NYT),Anthropic vs. The Pentagon,English,2026-02-20,"Kevin Roose, Casey Newton",,"AI safety policy, autonomous weapons, AI governance",4,Strong AI-specific policy discussion; Anthropic refusing Pentagon use — important ethics episode,,https://podcasts.apple.com/us/podcast/hard-fork/id1528594034
AI Forklart,Prompting del 1: Samtalen med AI,Norwegian,2026-02-24,"Niclas Kvanvig, Celine Haaland-Johansen",,"Prompting techniques, chatbot conversation, AI interaction",4,Praktisk prompting-serie del 1 — tilgjengelig og nyttig for norske lyttere,,https://podcasts.apple.com/no/podcast/ai-forklart/id1868744798
The Artificial Intelligence Show,"#198: Microsoft AI CEO Predicts Job Automation in 18 Months, AI Productivity Evidence, Dario Amodei Interview & Seedance 2.0",English,2026-02-24,"Paul Roetzer, Mike Kaput",,"AI job automation timeline, AI productivity evidence, Dario Amodei interview, Claude Sonnet 4.6",4,Microsoft AI CEO forutsier jobbautomatisering,,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/traffic.megaphone.fm/FPMN2691197403.mp3
AI-Snakk,Ep 40 – Et tankeeksperiment om AI og global økonomi,Norwegian,2026-02-25,Audun Kvitland Røstad,,"AI economic impact, labour displacement scenarios",4,Thoughtful economic perspective on AI disruption,,https://podcasts.apple.com/us/podcast/ai-snakk/id1817215754
Accounting Technology Lab Podcast,Vibe Coding with AI,English,2026-02-25,"Randy Johnston, Brian Tankersley (CPA)",,"vibe coding, AI-driven software, accounting, non-programmers",4,"Exploring the concept of vibe coding within professional services, this discussion offers valuable insights for accountants interested in leveraging AI technology for enhanced efficiency.",vibe,https://www.cpapracticeadvisor.com/podcasts/vibe-coding-with-ai-accounting-technology-lab-podcast-feb-2026/
Agile Mentors Podcast,#175 – When AI Makes Agile Teams Worse with Hunter Hillegas,English,2026-02-25,Brian Milner,Hunter Hillegas,"AI adoption in Agile teams, team dynamics, AI pitfalls in software development",4,"Offering a critical and practical perspective on AI adoption in Agile teams, this episode is relevant for anyone working with AI in software development.",,https://agilementors.podbean.com/e/when-ai-makes-agile-teams-worse-with-hunter-hillegas/
Latent Space,Anthropic Distillation & How Models Cheat (SWE-Bench Dead),English,2026-02-26,"Shawn Wang, Alessio Fanelli","Nathan Lambert, Sebastian Raschka","Model distillation, benchmark evaluation, post-training",6,Top AI researchers on model training and benchmark integrity — essential listening,,https://latent.space/podcast
No Priors,AI Infrastructure & Capital,English,2026-02-26,"Sarah Guo, Elad Gil",,"AI capex, infrastructure financing, foundation models",5,Solid analysis of AI's $700B infrastructure investment landscape,,https://podcasts.apple.com/us/podcast/no-priors-artificial-intelligence-technology-startups/id1668002688
TWIML AI Podcast,#762 – AI Trends 2026,English,2026-02-26,Sam Charrington,Sebastian Raschka (independent LLM researcher),"LLM landscape, reasoning, inference-time techniques, tool integration",6,Deep technical analysis of AI trends by leading independent researcher,openclaw,https://twimlai.com/podcast/twimlai/
The AI Daily Brief,The OpenClaw-ification of AI,English,2026-02-26,Nathaniel Whittemore (NLW),,"OpenClaw paradigm, persistent agents, multimodal orchestration, always-on AI",5,Analyzes how the entire AI industry has adapted to OpenClaw primitives — an important contextual episode.,openclaw,https://podcasts.apple.com/us/podcast/the-openclaw-ification-of-ai/id1680633614?i=1000751828664
The Artificial Intelligence Show,"#199: AI Answers - Do Custom GPTs Still Matter? AI Output Validation, 2026 Job Disruption, Preventing Burnout, and Build vs. Buy",English,2026-02-26,"Paul Roetzer, Cathy McPhillips",,"Custom GPTs, AI output validation, job disruption, build vs buy AI",4,"Engaging in a Q&A format, hosts Paul Roetzer and Cathy McPhillips delve into the significance of Custom GPTs, the necessity of AI output validation, and anticipated job disruptions by 2026. The discussion offers valuable insights into the ongoing debate surrounding the choice between building or buying AI solutions.",,https://www.podtrac.com/pts/redirect.mp3/pdst.fm/e/traffic.megaphone.fm/FPMN8674779216.mp3
Hard Fork (NYT),A.I. and Job/Stock Market Volatility,English,2026-02-27,"Kevin Roose, Casey Newton",Anton Korinek (economist),"AI economics, labor market, stock market",4,Economist guest adds depth to AI economic impact discussion,,https://podcasts.apple.com/us/podcast/hard-fork/id1528594034
The Journal (WSJ),The AI Economic Doomsday Report That Shook Wall Street,English,2026-02-27,Ryan Knutson,,"AI doomsday report, white collar unemployment fears, Wall Street anxiety",4,"Alarming AI job forecasts are discussed, revealing their unsettling impact on employment in the white-collar sector and Wall Street's reaction. Host Ryan Knutson guides listeners through this crucial conversation on the economic implications of AI.",,https://pdst.fm/e/traffic.megaphone.fm/WSJ2519178131.mp3?updated=1772228481
Heis,Ep 12 – Greger Teigre Wedel: Når sjefen har svaret tier resten,Norwegian,2026-03-01,Truls og Audun,Greger Teigre Wedel (ex-SVP Engineering Cognite),"skalering av teknologiorganisasjoner, AI som kapasitetforsterker, implikasjoner for junior utviklere",4,"AI diskuteres som et horisontalt forsterkende verktøy, med en solid vinkling mot ledelse og skalering.",,https://heis.fm/
AI Forklart,Prompting del 2: RASK-modellen,Norwegian,2026-03-03,"Niclas Kvanvig, Celine Haaland-Johansen",,"Prompting framework, RASK model, effective AI use",4,Strukturert fire-stegs rammeverk for bedre prompting — høy praktisk verdi,,https://podcasts.apple.com/no/podcast/ai-forklart/id1868744798
The Artificial Intelligence Show,"#200: Anthropic vs. the Pentagon, OpenAI's $110B Round, Interview with Claude Code’s Creator & Block’s AI-Driven Layoffs",English,2026-03-03,"Paul Roetzer, Mike Kaput",,"Anthropic vs Pentagon, OpenAI $110B funding, Claude Code creator interview, AI-driven layoffs",4,"Anthropic vs. Pentagon, Claude Code-intervju — viktig episode",openclaw,https://podcast.smarterx.ai/
The Implement AI Podcast,"#78 – From AI Pilots to Production: Analyst Agents, Action Agents, and Real ROI",English,2026-03-03,"Piers Linney, Dr. Aalok Y. Shukla",,"AI production, AI ROI, AI agents, enterprise AI deployment",4,"Concrete insights on transitioning AI from pilot projects to production emphasize measurable ROI and scalability, making it practical and action-oriented.",agents,https://shows.acast.com/the-ai-assisted-organisation-with-implement-ai/episodes/the-implement-ai-podcast-78-from-ai-pilots-to-production-ana
AI-Snakk,Ep 41 – 110 milliarder grunner til å følge med,Norwegian,2026-03-05,Audun Kvitland Røstad,,"OpenAI finansiering, AI-infrastruktur, militære AI-kontrakter",4,Tar for seg en viktig AI-investering med et norsk perspektiv.,,https://podcasts.apple.com/us/podcast/ai-snakk/id1817215754
Latent Space,Every Agent Needs a Box — Aaron Levie (Box),English,2026-03-05,"Shawn Wang, Alessio Fanelli",Aaron Levie (CEO Box),"AI agents, filesystems, sandboxes, agent environments",5,Expert CEO guest on AI agent infrastructure; practical focus,agents,https://latent.space/podcast
Latent Space,Cursor's Third Era: Cloud Agents,English,2026-03-06,"Shawn Wang, Alessio Fanelli",Cursor team,"AI coding agents, cloud agents, IDE evolution, agentic coding",6,Deep dive into AI-assisted coding tools and cloud agent architecture — directly covers vibe coding landscape,"vibe,agents",https://latent.space/podcast
HR-podden,228: Hva du bør vite om KI i 2026 med Alexander Haneng,Norwegian,2026-02-11,Anne Lise Heide,Alexander Haneng,"KI strategy, shadow AI, AI adoption, competence development, organizational change, HR and AI",5,Alexander Haneng gir konkrete KI-råd for HR og ledere — strategisk vinkel med høy relevans for norske organisasjoner,,https://hrpodden.buzzsprout.com/1929646/episodes/18610789-228-hva-du-bor-vite-om-ki-i-2026-med-alexander-haneng
Teknologi og mennesker,NRK og Schibsted om fremtidens medieopplevelser,Norwegian,2026-02-24,Christian Brosstad,"Pål Nedregotten (NRK), Espen Sundve (Schibsted)","AI in newsrooms, deepfakes, AI-generated content, media and AI, editorial strategies",4,AI-bruk i norske mediehus — NRK og Schibsted deler praktiske erfaringer med AI i redaksjonell produksjon,,https://podcasts.apple.com/no/podcast/nrk-og-schibsted-om-fremtidens-medieopplevelser/id1448709858?i=1000751127300
KI til Kaffen,Claw & Order: OpenClaw og Hvordan gjøre data KI klar?,Norwegian,2026-03-02,KI til Kaffen,,"OpenClaw, KI-data, dataforberedelse, norsk KI",5,Diskusjonen om OpenClaw og hvordan man kan forberede data for KI gir verdifulle innsikter for de som ønsker å jobbe med kunstig intelligens.,openclaw,https://www.buzzsprout.com/2489083/episodes/18774110-claw-order-openclaw-og-hvordan-gjore-data-ki-klar.mp3
The AI Breakdown (Andy Dumbell),Vibe Coding 1 Year On – Faster Or Just Busier?,English,2026-03-09,Andy Dumbell,,"Vibe coding retrospective, AI coding tool effectiveness, developer productivity",5,Strong retrospective on vibe coding with balanced critical perspective,vibe,https://open.spotify.com/show/1yT736AazNtqOXpgHKiS8Q
